0,1,2,3,4,5,6,7,8,9,10
butter milk,root vegetables,,,,,,,,,
citrus fruit,other vegetables,yogurt,,,,,,,,
citrus fruit,coffee,,,,,,,,,
butter,rolls/buns,,,,,,,,,
citrus fruit,canned fish,,,,,,,,,
pork,oil,,,,,,,,,
soda,hard cheese,,,,,,,,,
pickled vegetables,yogurt,,,,,,,,,
meat,other vegetables,,,,,,,,,
salt,oil,,,,,,,,,
dessert,beef,,,,,,,,,
beef,canned beer,margarine,,,,,,,,
citrus fruit,UHT-milk,,,,,,,,,
pork,other vegetables,,,,,,,,,
dessert,whole milk,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
salty snack,condensed milk,,,,,,,,,
white bread,pickled vegetables,,,,,,,,,
beef,specialty fat,newspapers,,,,,,,,
beef,other vegetables,,,,,,,,,
frankfurter,bottled water,shopping bags,finished products,yogurt,newspapers,tropical fruit,liquor (appetizer),dog food,,
misc. beverages,long life bakery product,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
citrus fruit,citrus fruit,other vegetables,whole milk,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
beef,domestic eggs,,,,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
canned vegetables,other vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,canned fish,,,,,,,,,
sausage,hygiene articles,ice cream,,,,,,,,
other vegetables,grapes,,,,,,,,,
white bread,other vegetables,whipped/sour cream,UHT-milk,margarine,,,,,,
chewing gum,yogurt,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
bottled water,brown bread,,,,,,,,,
whole milk,canned beer,,,,,,,,,
beverages,coffee,,,,,,,,,
sparkling wine,tropical fruit,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
ham,brown bread,,,,,,,,,
ham,cream cheese ,,,,,,,,,
butter milk,citrus fruit,,,,,,,,,
soda,curd,,,,,,,,,
liquor (appetizer),whole milk,,,,,,,,,
other vegetables,frankfurter,napkins,pastry,,,,,,,
sausage,other vegetables,,,,,,,,,
seasonal products,pot plants,whole milk,dental care,,,,,,,
spread cheese,root vegetables,,,,,,,,,
chicken,vinegar,,,,,,,,,
sweet spreads,newspapers,,,,,,,,,
shopping bags,dessert,other vegetables,bottled water,margarine,,,,,,
hard cheese,bottled water,root vegetables,brown bread,,,,,,,
beef,curd,,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
frozen dessert,canned beer,,,,,,,,,
domestic eggs,pastry,,,,,,,,,
cream cheese ,candy,,,,,,,,,
whole milk,coffee,soft cheese,,,,,,,,
frozen vegetables,pot plants,,,,,,,,,
whole milk,citrus fruit,long life bakery product,salty snack,chocolate,,,,,,
tropical fruit,canned beer,hygiene articles,,,,,,,,
beef,soda,,,,,,,,,
curd,coffee,,,,,,,,,
soda,grapes,,,,,,,,,
soda,spices,shopping bags,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
misc. beverages,bottled beer,,,,,,,,,
sausage,root vegetables,,,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
meat,sausage,cake bar,root vegetables,,,,,,,
citrus fruit,jam,,,,,,,,,
shopping bags,curd,,,,,,,,,
rolls/buns,whipped/sour cream,waffles,rolls/buns,margarine,soda,salty snack,soda,canned beer,,
pip fruit,onions,,,,,,,,,
dessert,other vegetables,long life bakery product,,,,,,,,
other vegetables,rolls/buns,whole milk,margarine,,,,,,,
soda,frozen potato products,white wine,,,,,,,,
soda,root vegetables,,,,,,,,,
softener,salty snack,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
ketchup,potato products,,,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
frozen fish,baking powder,,,,,,,,,
pork,bottled water,bottled water,,,,,,,,
meat,processed cheese,root vegetables,cat food,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
salty snack,pastry,oil,,,,,,,,
soda,pork,bottled water,,,,,,,,
whole milk,roll products ,,,,,,,,,
frankfurter,other vegetables,whole milk,ready soups,brandy,,,,,,
dishes,bottled water,,,,,,,,,
newspapers,beverages,beef,chocolate,kitchen towels,,,,,,
salty snack,butter,,,,,,,,,
sausage,frankfurter,citrus fruit,bottled beer,soda,butter,oil,,,,
long life bakery product,other vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
pastry,root vegetables,,,,,,,,,
root vegetables,rolls/buns,Instant food products,,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pip fruit,UHT-milk,soda,,,,,,,,
whole milk,sauces,,,,,,,,,
yogurt,UHT-milk,dessert,frozen dessert,,,,,,,
chocolate,yogurt,,,,,,,,,
other vegetables,pasta,,,,,,,,,
salty snack,bottled beer,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
root vegetables,butter,,,,,,,,,
white wine,newspapers,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
meat,root vegetables,,,,,,,,,
rolls/buns,sausage,curd,whole milk,butter milk,margarine,white bread,yogurt,,,
chicken,other vegetables,,,,,,,,,
turkey,newspapers,white wine,,,,,,,,
tropical fruit,detergent,,,,,,,,,
yogurt,domestic eggs,yogurt,,,,,,,,
root vegetables,rolls/buns,salty snack,,,,,,,,
salty snack,pip fruit,chicken,rolls/buns,red/blush wine,,,,,,
sausage,pastry,bottled beer,UHT-milk,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
pip fruit,soda,condensed milk,,,,,,,,
coffee,curd cheese,,,,,,,,,
curd,other vegetables,,,,,,,,,
beverages,sliced cheese,semi-finished bread,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
chocolate,butter,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
specialty chocolate,white bread,,,,,,,,,
sausage,canned beer,frozen vegetables,detergent,,,,,,,
beef,condensed milk,,,,,,,,,
other vegetables,soda,yogurt,,,,,,,,
soda,whole milk,,,,,,,,,
packaged fruit/vegetables,liquor,shopping bags,,,,,,,,
white bread,frozen vegetables,soda,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
citrus fruit,white bread,,,,,,,,,
herbs,margarine,rolls/buns,chocolate,,,,,,,
specialty cheese,butter,,,,,,,,,
berries,grapes,onions,,,,,,,,
tropical fruit,soda,,,,,,,,,
other vegetables,newspapers,waffles,,,,,,,,
specialty chocolate,brandy,,,,,,,,,
long life bakery product,whipped/sour cream,,,,,,,,,
other vegetables,pastry,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
dessert,curd,,,,,,,,,
pip fruit,butter,,,,,,,,,
frozen fish,bottled water,,,,,,,,,
shopping bags,soda,,,,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
fish,canned beer,,,,,,,,,
canned beer,white bread,,,,,,,,,
sausage,butter,bottled water,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
sausage,pip fruit,soda,curd,waffles,,,,,,
soap,berries,,,,,,,,,
citrus fruit,soda,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
pork,pastry,,,,,,,,,
liver loaf,processed cheese,canned beer,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
whole milk,butter,,,,,,,,,
zwieback,rice,,,,,,,,,
whipped/sour cream,sweet spreads,,,,,,,,,
yogurt,whole milk,,,,,,,,,
bottled beer,beverages,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
soda,margarine,,,,,,,,,
butter milk,bottled beer,zwieback,,,,,,,,
butter milk,hard cheese,,,,,,,,,
bottled water,onions,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
roll products ,rice,,,,,,,,,
yogurt,whole milk,,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
pork,soda,,,,,,,,,
root vegetables,curd,,,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
beef,bottled beer,herbs,,,,,,,,
meat,chocolate,,,,,,,,,
whole milk,condensed milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
salty snack,other vegetables,,,,,,,,,
cream cheese ,chocolate,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
canned beer,root vegetables,hard cheese,specialty cheese,,,,,,,
ice cream,salty snack,,,,,,,,,
pot plants,coffee,rolls/buns,hard cheese,,,,,,,
beef,other vegetables,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
pot plants,citrus fruit,whipped/sour cream,,,,,,,,
meat,rolls/buns,,,,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
popcorn,citrus fruit,,,,,,,,,
soda,shopping bags,,,,,,,,,
root vegetables,misc. beverages,frozen dessert,,,,,,,,
pork,detergent,bottled beer,,,,,,,,
pork,other vegetables,,,,,,,,,
whole milk,yogurt,pastry,,,,,,,,
ice cream,curd,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
beef,pastry,candy,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
citrus fruit,pork,napkins,domestic eggs,,,,,,,
root vegetables,newspapers,,,,,,,,,
bottled water,soda,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
citrus fruit,rum,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
chicken,butter,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
rolls/buns,chicken,whipped/sour cream,canned beer,baking powder,,,,,,
pip fruit,rum,,,,,,,,,
chicken,cat food,,,,,,,,,
whole milk,coffee,,,,,,,,,
oil,chocolate,,,,,,,,,
soda,spread cheese,,,,,,,,,
canned beer,organic products,whole milk,frozen dessert,misc. beverages,,,,,,
potato products,oil,,,,,,,,,
dessert,sliced cheese,,,,,,,,,
tropical fruit,fish,,,,,,,,,
other vegetables,butter,,,,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
dessert,house keeping products,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
ham,other vegetables,,,,,,,,,
pip fruit,other vegetables,bottled water,,,,,,,,
misc. beverages,sausage,root vegetables,liquor (appetizer),coffee,,,,,,
chicken,whole milk,,,,,,,,,
house keeping products,newspapers,,,,,,,,,
ham,liquor (appetizer),,,,,,,,,
hard cheese,bottled water,specialty fat,,,,,,,,
chocolate,curd,salty snack,,,,,,,,
ham,bottled beer,,,,,,,,,
nuts/prunes,white wine,,,,,,,,,
coffee,bottled water,chocolate,,,,,,,,
canned fish,ice cream,,,,,,,,,
coffee,berries,,,,,,,,,
dishes,sweet spreads,,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
chicken,abrasive cleaner,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
sausage,domestic eggs,sugar,,,,,,,,
sugar,shopping bags,,,,,,,,,
napkins,pastry,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
other vegetables,curd,yogurt,pudding powder,,,,,,,
soda,misc. beverages,,,,,,,,,
newspapers,salty snack,pastry,,,,,,,,
herbs,tropical fruit,whole milk,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
beef,liquor,specialty cheese,,,,,,,,
semi-finished bread,ketchup,,,,,,,,,
grapes,chocolate marshmallow,dishes,,,,,,,,
frankfurter,hair spray,,,,,,,,,
whole milk,sweet spreads,pip fruit,bottled water,mustard,,,,,,
chicken,white bread,,,,,,,,,
whole milk,salty snack,,,,,,,,,
beef,mayonnaise,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
female sanitary products,curd,,,,,,,,,
newspapers,curd,turkey,curd,misc. beverages,bottled beer,,,,,
ham,white wine,pasta,,,,,,,,
cleaner,shopping bags,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
root vegetables,dessert,,,,,,,,,
dessert,shopping bags,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
shopping bags,coffee,,,,,,,,,
skin care,oil,,,,,,,,,
frozen meals,chocolate,,,,,,,,,
dessert,pastry,hard cheese,candles,,,,,,,
citrus fruit,misc. beverages,misc. beverages,,,,,,,,
waffles,yogurt,,,,,,,,,
whole milk,soda,,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
candy,cream cheese ,brown bread,soda,,,,,,,
pork,brown bread,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
hamburger meat,canned beer,other vegetables,canned fruit,,,,,,,
chocolate,margarine,bottled water,soda,,,,,,,
berries,red/blush wine,,,,,,,,,
waffles,spread cheese,,,,,,,,,
brandy,whole milk,whole milk,bottled water,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sweet spreads,coffee,,,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
frankfurter,beef,,,,,,,,,
rolls/buns,sugar,,,,,,,,,
pork,rolls/buns,,,,,,,,,
rolls/buns,liquor,curd,other vegetables,,,,,,,
chicken,shopping bags,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
meat,onions,whole milk,whole milk,,,,,,,
yogurt,root vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
sausage,dessert,,,,,,,,,
root vegetables,margarine,,,,,,,,,
canned beer,yogurt,curd cheese,pastry,,,,,,,
root vegetables,newspapers,,,,,,,,,
frankfurter,margarine,frozen vegetables,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
other vegetables,beverages,fruit/vegetable juice,prosecco,other vegetables,ice cream,soda,root vegetables,,,
other vegetables,white bread,,,,,,,,,
sausage,pip fruit,spices,,,,,,,,
citrus fruit,margarine,white wine,,,,,,,,
beverages,white wine,frozen potato products,,,,,,,,
chicken,rolls/buns,,,,,,,,,
salty snack,pip fruit,photo/film,domestic eggs,rolls/buns,,,,,,
ham,citrus fruit,,,,,,,,,
tropical fruit,herbs,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
frankfurter,specialty bar,,,,,,,,,
soda,misc. beverages,,,,,,,,,
cooking chocolate,oil,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
finished products,butter milk,fruit/vegetable juice,brown bread,pot plants,,,,,,
frankfurter,coffee,,,,,,,,,
sausage,specialty bar,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
packaged fruit/vegetables,pastry,,,,,,,,,
sausage,onions,,,,,,,,,
soda,dog food,,,,,,,,,
meat,condensed milk,,,,,,,,,
turkey,bottled water,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
whole milk,pork,,,,,,,,,
chicken,whole milk,,,,,,,,,
cake bar,bottled beer,,,,,,,,,
sausage,bottled water,,,,,,,,,
ham,berries,,,,,,,,,
rolls/buns,male cosmetics,,,,,,,,,
soda,onions,cream cheese ,,,,,,,,
pork,whole milk,,,,,,,,,
berries,soda,oil,,,,,,,,
coffee,shopping bags,,,,,,,,,
bottled water,flour,sugar,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
specialty chocolate,yogurt,hard cheese,pastry,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
beef,whole milk,fruit/vegetable juice,hygiene articles,,,,,,,
yogurt,rolls/buns,soda,,,,,,,,
chocolate,whipped/sour cream,rolls/buns,,,,,,,,
canned beer,yogurt,,,,,,,,,
beef,rolls/buns,,,,,,,,,
cream cheese ,whole milk,brown bread,whole milk,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
sausage,white bread,coffee,,,,,,,,
curd,whole milk,,,,,,,,,
newspapers,yogurt,,,,,,,,,
other vegetables,oil,,,,,,,,,
tropical fruit,mustard,sliced cheese,,,,,,,,
beef,citrus fruit,napkins,semi-finished bread,brown bread,,,,,,
yogurt,rolls/buns,domestic eggs,fruit/vegetable juice,,,,,,,
tropical fruit,bottled water,,,,,,,,,
candy,spread cheese,,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
ham,waffles,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
kitchen towels,bottled water,citrus fruit,butter,hygiene articles,,,,,,
frankfurter,rolls/buns,,,,,,,,,
frankfurter,fruit/vegetable juice,hard cheese,whole milk,rolls/buns,,,,,,
beef,frozen vegetables,coffee,,,,,,,,
cat food,canned beer,sliced cheese,dishes,zwieback,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
beef,candles,,,,,,,,,
grapes,zwieback,,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
sausage,salty snack,,,,,,,,,
bottled beer,cat food,newspapers,,,,,,,,
whole milk,canned beer,,,,,,,,,
brown bread,yogurt,,,,,,,,,
sausage,curd,,,,,,,,,
soda,citrus fruit,,,,,,,,,
seasonal products,soups,,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
chicken,candy,sugar,,,,,,,,
beef,meat,,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
yogurt,baking powder,,,,,,,,,
brown bread,whole milk,,,,,,,,,
tropical fruit,pastry,margarine,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pork,other vegetables,,,,,,,,,
semi-finished bread,shopping bags,,,,,,,,,
sausage,pastry,,,,,,,,,
ham,soft cheese,fruit/vegetable juice,sugar,,,,,,,
cat food,newspapers,,,,,,,,,
whole milk,soft cheese,,,,,,,,,
packaged fruit/vegetables,flour,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
flour,flower (seeds),bottled water,,,,,,,,
frankfurter,yogurt,,,,,,,,,
pastry,ketchup,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
margarine,detergent,yogurt,zwieback,,,,,,,
chocolate,dessert,,,,,,,,,
bottled beer,soap,,,,,,,,,
finished products,pip fruit,,,,,,,,,
ham,rolls/buns,tropical fruit,rolls/buns,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
bottled beer,whole milk,citrus fruit,other vegetables,soft cheese,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,root vegetables,margarine,,,,,,,,
rolls/buns,dessert,frozen meals,grapes,other vegetables,napkins,other vegetables,,,,
onions,specialty cheese,canned fish,,,,,,,,
curd,margarine,,,,,,,,,
tropical fruit,grapes,sausage,grapes,fruit/vegetable juice,curd,other vegetables,whipped/sour cream,,,
specialty bar,waffles,,,,,,,,,
beef,napkins,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,citrus fruit,,,,,,,,,
canned beer,pip fruit,,,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
whole milk,sauces,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
soda,yogurt,,,,,,,,,
whipped/sour cream,baking powder,cat food,,,,,,,,
pork,newspapers,root vegetables,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
grapes,butter,,,,,,,,,
other vegetables,berries,,,,,,,,,
pork,napkins,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
beef,beef,,,,,,,,,
soda,candy,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
yogurt,pork,UHT-milk,specialty bar,,,,,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
canned fish,yogurt,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
pork,other vegetables,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
oil,flour,,,,,,,,,
liver loaf,soda,,,,,,,,,
ham,tropical fruit,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
sausage,frozen meals,long life bakery product,soda,,,,,,,
whole milk,whole milk,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
chicken,herbs,soda,,,,,,,,
root vegetables,hygiene articles,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
canned beer,yogurt,white bread,,,,,,,,
brown bread,coffee,canned beer,,,,,,,,
meat,dessert,,,,,,,,,
photo/film,other vegetables,,,,,,,,,
roll products ,seasonal products,,,,,,,,,
ice cream,bottled water,,,,,,,,,
other vegetables,tropical fruit,white bread,specialty chocolate,pot plants,shopping bags,,,,,
sausage,root vegetables,,,,,,,,,
sausage,pork,,,,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
oil,chewing gum,,,,,,,,,
detergent,butter,,,,,,,,,
frozen meals,brown bread,other vegetables,curd cheese,,,,,,,
frozen meals,root vegetables,cat food,,,,,,,,
waffles,white bread,,,,,,,,,
jam,margarine,,,,,,,,,
whole milk,ice cream,,,,,,,,,
photo/film,cat food,,,,,,,,,
roll products ,soda,other vegetables,,,,,,,,
rolls/buns,sauces,,,,,,,,,
ice cream,butter,,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
sausage,chicken,,,,,,,,,
hard cheese,coffee,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
brown bread,whole milk,frozen vegetables,frozen meals,,,,,,,
onions,domestic eggs,long life bakery product,pastry,,,,,,,
baking powder,beef,,,,,,,,,
frankfurter,tropical fruit,frozen meals,soda,,,,,,,
frozen meals,hamburger meat,whole milk,pastry,fruit/vegetable juice,,,,,,
sliced cheese,domestic eggs,,,,,,,,,
tropical fruit,yogurt,fruit/vegetable juice,,,,,,,,
tropical fruit,pastry,,,,,,,,,
tropical fruit,bottled water,dishes,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
whole milk,softener,domestic eggs,soda,,,,,,,
dessert,root vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,white bread,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
pork,sliced cheese,,,,,,,,,
pastry,waffles,,,,,,,,,
rolls/buns,chicken,,,,,,,,,
fruit/vegetable juice,pickled vegetables,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
specialty chocolate,soda,curd,female sanitary products,,,,,,,
beverages,waffles,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
chicken,canned beer,,,,,,,,,
oil,chewing gum,,,,,,,,,
ice cream,soda,,,,,,,,,
misc. beverages,yogurt,oil,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
meat,butter milk,,,,,,,,,
soda,shopping bags,,,,,,,,,
bottled water,misc. beverages,fruit/vegetable juice,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
canned beer,meat,,,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
sausage,processed cheese,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
frankfurter,root vegetables,fruit/vegetable juice,margarine,,,,,,,
other vegetables,frozen fish,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
ice cream,other vegetables,misc. beverages,,,,,,,,
citrus fruit,napkins,,,,,,,,,
yogurt,berries,onions,pip fruit,,,,,,,
onions,ice cream,soda,sliced cheese,,,,,,,
canned beer,tropical fruit,bottled beer,,,,,,,,
rolls/buns,pastry,,,,,,,,,
whole milk,pastry,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
chicken,margarine,,,,,,,,,
root vegetables,chocolate,,,,,,,,,
beef,hamburger meat,newspapers,rum,meat spreads,whipped/sour cream,,,,,
chicken,tropical fruit,rolls/buns,liquor,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
hamburger meat,pork,chicken,whole milk,,,,,,,
spread cheese,frankfurter,ice cream,citrus fruit,pip fruit,cake bar,other vegetables,yogurt,rolls/buns,,
sausage,soda,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
soda,butter,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
pork,dental care,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
fruit/vegetable juice,herbs,dishes,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
soda,other vegetables,,,,,,,,,
frozen meals,rolls/buns,chocolate,shopping bags,,,,,,,
root vegetables,processed cheese,,,,,,,,,
other vegetables,curd,abrasive cleaner,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
soda,sweet spreads,bottled beer,frozen meals,pasta,,,,,,
other vegetables,napkins,,,,,,,,,
pasta,flower (seeds),,,,,,,,,
whole milk,ice cream,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
curd,citrus fruit,rolls/buns,other vegetables,dessert,,,,,,
dessert,frozen fish,,,,,,,,,
soda,red/blush wine,,,,,,,,,
whipped/sour cream,bottled beer,,,,,,,,,
root vegetables,pastry,soda,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
hard cheese,domestic eggs,,,,,,,,,
pastry,shopping bags,,,,,,,,,
specialty fat,red/blush wine,,,,,,,,,
berries,fruit/vegetable juice,cream cheese ,tropical fruit,,,,,,,
other vegetables,processed cheese,,,,,,,,,
meat,rolls/buns,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
tropical fruit,sausage,beef,yogurt,long life bakery product,yogurt,cream cheese ,processed cheese,,,
specialty chocolate,other vegetables,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
long life bakery product,onions,,,,,,,,,
other vegetables,mustard,soups,,,,,,,,
butter,citrus fruit,,,,,,,,,
sparkling wine,root vegetables,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
curd,canned beer,,,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
candles,chewing gum,,,,,,,,,
whole milk,soda,shopping bags,,,,,,,,
beverages,pickled vegetables,,,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
whole milk,newspapers,,,,,,,,,
sausage,packaged fruit/vegetables,curd,fruit/vegetable juice,,,,,,,
butter milk,rolls/buns,,,,,,,,,
sausage,canned beer,,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
whole milk,pastry,,,,,,,,,
bottled water,butter milk,,,,,,,,,
beef,misc. beverages,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
